STATE;GRANTEE;OWNER;OBJECT_TYPE;TABLE_NAME;GRANTOR;PRIVILEGE;GRANTABLE;HIERARCHY
O;DBREAD;APEX_IT;TABLE;A_JOB_CIS;APEX_IT;SELECT;NO;NO
O;DBREAD;APEX_IT;TABLE;A_JOB_LOG;APEX_IT;SELECT;NO;NO
O;DBREAD;APEX_IT;TABLE;I_AUKCE_HLAVICKA;APEX_IT;SELECT;NO;NO
O;DBREAD;APEX_IT;TABLE;I_AUKCE_RADEK;APEX_IT;SELECT;NO;NO
O;DBREAD;APEX_IT;TABLE;I_BEZPECNOSTNI_PROBLEMY;APEX_IT;SELECT;NO;NO
O;DBREAD;APEX_IT;TABLE;I_CISELNIK;APEX_IT;SELECT;NO;NO
O;DBREAD;APEX_IT;TABLE;I_CISELNIK_TYP;APEX_IT;SELECT;NO;NO
O;DBREAD;APEX_IT;TABLE;I_KOMUNIKACE;APEX_IT;SELECT;NO;NO
O;DBREAD;APEX_IT;TABLE;I_POZADAVEK;APEX_IT;SELECT;NO;NO
O;DBREAD;APEX_IT;TABLE;I_PRILOHA;APEX_IT;SELECT;NO;NO
O;DBREAD;APEX_IT;TABLE;I_PROJEKT;APEX_IT;SELECT;NO;NO
O;DBREAD;APEX_IT;TABLE;I_STAV_SYSTEMU;APEX_IT;SELECT;NO;NO
O;DBREAD;APEX_IT;TABLE;I_UDALOST;APEX_IT;SELECT;NO;NO
O;DBREAD;APEX_IT;TABLE;I_UPOZORNENI;APEX_IT;SELECT;NO;NO
O;DBREAD;APEX_IT;TABLE;I_ZADANKA;APEX_IT;SELECT;NO;NO
